algorithm_name,n_queens,run_n,explored_states,time_taken,solution_found
simulatedAnnealing,8,26,799,0.11500883102416992,False
genetic,8,26,1600,4.761000156402588,False
hillClimbing,8,27,5,0.04099845886230469,False
simulatedAnnealing,8,27,799,0.11500716209411621,False
genetic,8,27,402,1.1960058212280273,True
hillClimbing,8,28,4,0.03199505805969238,False
simulatedAnnealing,8,28,799,0.11800646781921387,False
genetic,8,28,1600,4.770001173019409,False
hillClimbing,8,29,6,0.04800009727478027,False
simulatedAnnealing,8,29,799,0.11699676513671875,False
genetic,8,29,1600,4.759000062942505,False
hillClimbing,8,30,6,0.0559999942779541,False
simulatedAnnealing,8,30,799,0.11800336837768555,False
genetic,8,30,1600,4.786005258560181,False
hillClimbing,10,1,7,0.12399911880493164,False
simulatedAnnealing,10,1,999,0.22200441360473633,False
genetic,10,1,2000,13.283004522323608,False
hillClimbing,10,2,6,0.10700464248657227,False
simulatedAnnealing,10,2,999,0.20500397682189941,False
genetic,10,2,2000,13.289003372192383,False
hillClimbing,10,3,4,0.07300448417663574,False
simulatedAnnealing,10,3,999,0.20400071144104004,False
genetic,10,3,2000,13.17400336265564,False
hillClimbing,10,4,5,0.0899965763092041,False
simulatedAnnealing,10,4,999,0.20400118827819824,False
genetic,10,4,2000,13.38200569152832,False
hillClimbing,10,5,7,0.1260058879852295,True
simulatedAnnealing,10,5,999,0.20999526977539062,False
genetic,10,5,2000,13.322997808456421,False
hillClimbing,10,6,5,0.09599876403808594,False
simulatedAnnealing,10,6,999,0.20600438117980957,False
genetic,10,6,2000,13.401003122329712,False
hillClimbing,10,7,5,0.09100508689880371,False
simulatedAnnealing,10,7,999,0.208998441696167,False
genetic,10,7,2000,13.178996562957764,False
hillClimbing,10,8,6,0.10999822616577148,False
simulatedAnnealing,10,8,999,0.20699644088745117,False
genetic,10,8,2000,13.177188396453857,False
hillClimbing,10,9,6,0.11099505424499512,False
simulatedAnnealing,10,9,999,0.20599961280822754,False
genetic,10,9,2000,13.202996015548706,False
hillClimbing,10,10,8,0.15500569343566895,True
simulatedAnnealing,10,10,999,0.2059926986694336,False
genetic,10,10,2000,13.42599868774414,False
hillClimbing,10,11,5,0.09300565719604492,False
simulatedAnnealing,10,11,999,0.2089993953704834,False
genetic,10,11,2000,13.2700035572052,False
hillClimbing,10,12,5,0.09199881553649902,False
simulatedAnnealing,10,12,999,0.2019953727722168,False
genetic,10,12,2000,13.326997756958008,False
hillClimbing,10,13,4,0.08399677276611328,False
simulatedAnnealing,10,13,999,0.20400667190551758,False
genetic,10,13,2000,13.256993532180786,False
hillClimbing,10,14,3,0.05394887924194336,False
simulatedAnnealing,10,14,999,0.20400500297546387,False
genetic,10,14,2000,13.309996843338013,False
hillClimbing,10,15,6,0.11699962615966797,False
simulatedAnnealing,10,15,999,0.20899701118469238,False
genetic,10,15,2000,13.206245422363281,False
hillClimbing,10,16,7,0.13400793075561523,False
simulatedAnnealing,10,16,999,0.20700383186340332,False
genetic,10,16,2000,13.358006477355957,False
hillClimbing,10,17,6,0.11099910736083984,False
simulatedAnnealing,10,17,999,0.20700812339782715,False
genetic,10,17,2000,13.390991687774658,False
hillClimbing,10,18,4,0.08000040054321289,False
simulatedAnnealing,10,18,999,0.20499682426452637,False
genetic,10,18,2000,13.19699764251709,False
hillClimbing,10,19,6,0.11999654769897461,False
simulatedAnnealing,10,19,999,0.20300745964050293,False
genetic,10,19,2000,13.123995780944824,False
hillClimbing,10,20,3,0.05900001525878906,False
simulatedAnnealing,10,20,999,0.20999932289123535,False
genetic,10,20,2000,13.190001487731934,False
hillClimbing,10,21,5,0.09100604057312012,False
simulatedAnnealing,10,21,999,0.2149980068206787,False
genetic,10,21,2000,13.326997518539429,False
hillClimbing,10,22,4,0.07999897003173828,False
simulatedAnnealing,10,22,999,0.2080082893371582,False
genetic,10,22,2000,13.281998634338379,False
hillClimbing,10,23,5,0.1020042896270752,False
simulatedAnnealing,10,23,999,0.20499801635742188,False
genetic,10,23,2000,13.234002828598022,False
hillClimbing,10,24,5,0.09399938583374023,False
simulatedAnnealing,10,24,999,0.20599937438964844,False
genetic,10,24,2000,13.298997640609741,False
hillClimbing,10,25,6,0.11600780487060547,False
simulatedAnnealing,10,25,999,0.20599937438964844,False
genetic,10,25,2000,13.185007572174072,False
hillClimbing,10,26,5,0.09200549125671387,False
simulatedAnnealing,10,26,999,0.20400428771972656,False
genetic,10,26,2000,13.171993255615234,False
hillClimbing,10,27,2,0.03999638557434082,False
simulatedAnnealing,10,27,999,0.20399904251098633,False
genetic,10,27,2000,13.197998046875,False
hillClimbing,10,28,4,0.07294940948486328,False
simulatedAnnealing,10,28,999,0.20700883865356445,False
genetic,10,28,2000,13.200999021530151,False
hillClimbing,10,29,6,0.10999870300292969,False
simulatedAnnealing,10,29,999,0.20399904251098633,False
genetic,10,29,2000,13.14599895477295,False
hillClimbing,10,30,4,0.08099746704101562,False
simulatedAnnealing,10,30,999,0.20400786399841309,False
genetic,10,30,2000,13.12599778175354,False
